Episode 37 	 Cost: 29.9348 	 Latency: 2.6204s 	 Energy: 0.2535J 	 Load: 1.5% 	 Act:[Loc:0% MEC:16% Rem:29% Cld:55%]
Episode 38 	 Cost: 42.5267 	 Latency: 3.4480s 	 Energy: 0.3305J 	 Load: 1.3% 	 Act:[Loc:0% MEC:16% Rem:36% Cld:48%]
Episode 39 	 Cost: 41.8158 	 Latency: 3.4111s 	 Energy: 0.2376J 	 Load: 1.3% 	 Act:[Loc:0% MEC:15% Rem:35% Cld:50%]
Episode 40 	 Cost: 62.1349 	 Latency: 4.7235s 	 Energy: 0.4446J 	 Load: 0.0% 	 Act:[Loc:0% MEC:16% Rem:18% Cld:66%]
Episode 41 	 Cost: 37.6494 	 Latency: 3.1310s 	 Energy: 0.2552J 	 Load: 2.9% 	 Act:[Loc:0% MEC:16% Rem:31% Cld:53%]
Episode 42 	 Cost: 43.5834 	 Latency: 3.4943s 	 Energy: 0.3876J 	 Load: 1.2% 	 Act:[Loc:0% MEC:18% Rem:24% Cld:58%]
Episode 43 	 Cost: 28.3052 	 Latency: 2.5079s 	 Energy: 0.3246J 	 Load: 3.3% 	 Act:[Loc:0% MEC:16% Rem:31% Cld:53%]
Episode 44 	 Cost: 44.5336 	 Latency: 3.5736s 	 Energy: 0.3464J 	 Load: 1.3% 	 Act:[Loc:0% MEC:15% Rem:22% Cld:62%]
Episode 45 	 Cost: 40.4565 	 Latency: 3.3176s 	 Energy: 0.3210J 	 Load: 1.1% 	 Act:[Loc:0% MEC:16% Rem:26% Cld:57%]
Episode 46 	 Cost: 37.3287 	 Latency: 3.0935s 	 Energy: 0.3746J 	 Load: 1.6% 	 Act:[Loc:0% MEC:17% Rem:26% Cld:57%]
Episode 47 	 Cost: 39.7924 	 Latency: 3.2514s 	 Energy: 0.2573J 	 Load: 0.7% 	 Act:[Loc:0% MEC:17% Rem:17% Cld:66%]
Episode 48 	 Cost: 26.0101 	 Latency: 2.3527s 	 Energy: 0.2507J 	 Load: 1.5% 	 Act:[Loc:0% MEC:16% Rem:39% Cld:45%]
Episode 49 	 Cost: 29.8370 	 Latency: 2.6006s 	 Energy: 0.2437J 	 Load: 0.7% 	 Act:[Loc:0% MEC:17% Rem:16% Cld:67%]
Episode 50 	 Cost: 39.7306 	 Latency: 3.2377s 	 Energy: 0.2951J 	 Load: 1.1% 	 Act:[Loc:0% MEC:17% Rem:18% Cld:65%]
